Dates,Center_mass,DSI,Center_mass_top,Center_mass_bottom,vol_pos,vol_neg,opt_vol,price
2021-09-08,208.28197250182663,41.43811716210409,240.47495917256387,202.98211751757324,3886128.639999999,-7480885.000000001,-13091806.799999999,211.3800048828125
2021-09-09,212.3909284036877,38.070261908018544,239.23722313426796,203.4195981593736,2933503.86,-10103981.76,-7710913.716816853,213.94000244140625
2021-09-10,214.46116920952085,36.531783457978165,238.80436959642174,201.24536051277374,2329338.0347999996,-10103865.408,-6712568.094535469,210.3000030517578
2021-09-13,216.03218696911713,32.347682174459784,232.46050917109372,201.31541832271776,4463973.759999999,-8089025.359999999,-5714222.472254084,214.47999572753906
2021-09-14,213.55162611140992,32.71006342447508,237.88647365715062,200.20410350831557,4439942.319999999,-7295119.68,-7292958.721810105,211.57000732421875
2021-09-15,215.28986445033098,41.35436694868043,240.5216062595132,199.39789480624697,4415910.88,-6501214.0,-5949810.200767541,214.22000122070312
2021-09-16,215.14801686019442,29.797549658735683,239.25187786181016,199.31001999232515,4104883.1999999997,-7407628.8,-6534380.495219764,213.36000061035156
2021-09-17,213.55364259881512,38.386742296523124,237.61018915537704,199.8890496895942,5045629.96,-7312606.56,-7294892.898006804,213.36000061035156
2021-09-20,210.44723838433592,35.499529060933284,238.55679028228988,200.02987788343768,4955904.696599999,-7673672.687000002,-9580952.6391299,209.5
2021-09-21,208.26191663096753,29.965919085908755,237.5312748384418,199.5722138752068,4621550.169999999,-7925787.310000001,-10074280.960454488,208.50999450683594
2021-09-22,216.25534457180783,29.259778992470448,238.87810442337664,198.38326278085316,3734964.73,-8802096.870000003,-4058950.452777257,216.97999572753906
2021-09-23,223.16093501521695,35.97330772368812,238.3225530608665,195.8456404972476,3833430.9891999997,-9280993.270799998,1349868.204452183,221.10000610351562
2021-09-24,223.68782376635167,39.517904937745676,237.7003707061005,197.1948768360462,6465293.640000001,-7274133.720000001,1781774.2333862577,221.38999938964844
2021-09-27,226.08648268234194,29.774553179576696,238.86947022233645,199.07928536967836,9669832.249999998,-6307661.749999999,5011289.291059719,224.16000366210938
2021-09-28,220.68984920393441,45.40510369221939,238.69742381018648,200.23326639160183,10262940.85,-6567706.010000002,-1587797.9573005587,218.41000366210938
2021-09-29,228.78558906476627,36.93059437177829,238.0248273195292,201.0679967877223,11831388.53,-5645713.109999999,8707097.72064749,225.36000061035156
2021-09-30,226.04499849951634,56.10937398160265,238.37319459940855,200.42329992371208,8604869.52,-7508080.319999999,4244871.071867486,219.94000244140625
